Name,Family,Status,Provider,Country,Continent
Angara,Angara,Active,Khrunichev,Russia,Asia
Angara 1.2,Angara,Active,Khrunichev,Russia,Asia
Angara A5,Angara,Active,Khrunichev,Russia,Asia
Antares 230+,Antares,Active,Northrop Grumman,USA,America
Ariane 5,Ariane 5,Active,Arianespace,EU,Europe
Ariane 5 ECA,Ariane 5,Active,Arianespace,EU,Europe
Ariane 5 ES,Ariane 5,Retired,Arianespace,EU,Europe
Ariane 6 A62,Ariane 6,Development,Arianespace,EU,Europe
Ariane 6 A64,Ariane 6,Development,Arianespace,EU,Europe
Ariane 6,Ariane 6,Development,Arianespace,EU,Europe
Atlas V 401,Atlas V,Active,ULA,USA,America
Atlas V 411,Atlas V,Retired,ULA,USA,America
Atlas V 421,Atlas V,Retired,ULA,USA,America
Atlas V 431,Atlas V,Retired,ULA,USA,America
Atlas V 501,Atlas V,Active,ULA,USA,America
Atlas V 511,Atlas V,Active,ULA,USA,America
Atlas V 521,Atlas V,Active,ULA,USA,America
Atlas V 531,Atlas V,Active,ULA,USA,America
Atlas V 541,Atlas V,Active,ULA,USA,America
Atlas V 551,Atlas V,Active,ULA,USA,America
Atlas V N22,Atlas V,Active,ULA,USA,America
Black Arrow,Black Arrow,Retired,Royal Aircraft Establishment,UK,Europe
Bloostar,Bloostar,Development,Zero 2 Infinity,Spain,Europe
Ceres-1,Ceres-1,Active,Galactic Energy,China,Asia
Cyclone-4M,Cyclone-4M,Development,Yuzhnoye Design Bureau,Ukraine,Europe
Delta IV Heavy,Delta IV Heavy,Active,ULA,USA,America
Delta IV Medium,Delta IV Medium,Retired,ULA,USA,America
Electron,Electron,Active,Rocket Lab,USA,Oceania
Energia,Energia,Legendary,NPO Energomash,USSR,Asia
Epsilon,Epsilon,Active,JAXA,Japan,Asia
Eris,Eris,Development,Gilmour Space Technologies,Australia,Oceania
Falcon 1,Falcon 1,Retired,SpaceX,USA,America
Falcon 9,Falcon 9,Active,SpaceX,USA,America
Falcon 9 Block 5,Falcon 9,Active,SpaceX,USA,America
Falcon Heavy,Falcon Heavy,Active,SpaceX,USA,America
Firefly Alpha,Firefly Alpha,Active,Firefly Aerospace,USA,America
GSLV Mk II,GSLV Mk II,Active,ISRO,India,Asia
GSLV Mk III,GSLV Mk III,Active,ISRO,India,Asia
H3,H3,Development,MHI,Japan,Asia
H3-22L,H3,Development,MHI,Japan,Asia
H3-22S,H3,Development,MHI,Japan,Asia
H3-24L,H3,Development,MHI,Japan,Asia
H3-24S,H3,Development,MHI,Japan,Asia
H3-30L,H3,Development,MHI,Japan,Asia
H3-30S,H3,Development,MHI,Japan,Asia
Haas,Haas,Development,ARCAspace,USA,America
H-IIA,H-IIA,Active,MHI,Japan,Asia
H-IIA 202,H-IIA,Active,MHI,Japan,Asia
H-IIA 204,H-IIA,Active,MHI,Japan,Asia
H-IIB,H-IIB,Retired,MHI,Japan,Asia
Hyperbola-1,Hyperbola-1,Active,i-Space,China,Asia
Hyperbola-2,Hyperbola-2,Development,i-Space,China,Asia
Jielong-1,Jielong-1,Active,CASC,China,Asia
Kaituozhe 1,Kaituozhe 1,Retired,CASC,China,Asia
Kaituozhe 2,Kaituozhe 2,Active,CASC,China,Asia
KSLV-2,KSLV-2,Active,KARI,South Korea,Asia
Kuaizhou 11,Kuaizhou 11,Active,ExPace (CASIC),China,Asia
Kuaizhou 1A,Kuaizhou 1A,Active,ExPace (CASIC),China,Asia
Kuaizhou 21,Kuaizhou 21,Development,ExPace (CASIC),China,Asia
Kuaizhou 31,Kuaizhou 31,Development,ExPace (CASIC),China,Asia
LauncherOne,LauncherOne,Active,Virgin Orbit,USA,America
Long March 11,Long March 11,Active,CASC,China,Asia
Long March 2C,Long March 2,Active,CASC,China,Asia
